term,linguistic_group
ធ្វើតាម  ,Content word (verb: to follow)
ទៅដល់ទីនោះ,Prepositions / Relational Words
នាង,Pronouns
ឆ្លៀតសម័យ  ,Function Nouns
ផ្តល់នូវ,Auxiliary Verbs / Aspect Markers
សព្វពេល,Numbers & Time Expressions
ផ្ដល់  ,Content word (verb: to give)
ប្រគល់,Content word (verb: to hand over / to deliver)
ផ្លាស់ប្ដូរសម័យ,Function Nouns
ឆ្លៀតចំណែក  ,Function Nouns
ត្រឹមតែ,Determiners & Quantifiers
ពេលណាមួយ,Numbers & Time Expressions
ឥឡូវនេះ,Numbers & Time Expressions
មិនសម្ដែង  ,Question & Negation Words
ផ្តល់សេចក្ដីត្រូវបាន,Auxiliary Verbs / Aspect Markers + Content word
ព្រាត់ចិត្ត,Function Nouns
ទាស់,Particles & Discourse Markers
ឆ្លៀតទំនេរ  ,Content word (verb: to free)
ពេញចិត្ត,Particles & Discourse Markers
ដែរ,Particles & Discourse Markers
ឱកាស,Function Nouns
ឆ្លៀតយកចំណាប់អារម្មណ៍  ,Content word (verb: to feel)
នឹងកំណត់  ,Auxiliary Verbs / Aspect Markers
ព្រមសន្មត់,Auxiliary Verbs / Aspect Markers
ដើរ,Content word (verb: to walk)
ផ្ដើមសម្រាប់,Prepositions / Relational Words
នៅឡើយទេ,Question & Negation Words
មិនបញ្ចូល  ,Question & Negation Words
មិនឃើញ,Question & Negation Words
ត្រលះ,Particles & Discourse Markers
រហូត,Numbers & Time Expressions
សូមធ្វើ  ,Politeness & Honorifics
ភ្លេចអ្វី,Question & Negation Words
ព្យាយាម,Content word (verb: to try)
ឆ្លើយតប,Content word (verb: to answer)
ទស្សនា,Content word (verb: to see)
ទៅមើល,Prepositions / Relational Words
ឯ,Particles & Discourse Markers
ទេ,Question & Negation Words
ប្រកប  ,Prepositions / Relational Words
ផ្ទាល់ខ្លួន,Determiners & Quantifiers
តើធ្វើម្តេច,Question & Negation Words
ភ្លេចស្រឡាញ់,Function Nouns
ផ្ទុយ,Particles & Discourse Markers
ជា,Prepositions / Relational Words
ឆ្លៀតស្រាវជ្រាវ  ,Content word (verb: to research)
ណា,Particles & Discourse Markers
ផ្តល់ការបញ្ចូលចិត្ត,Auxiliary Verbs / Aspect Markers  + Content word
ផ្តល់ការរំឭក,Auxiliary Verbs / Aspect Markers + Content word
មិនឃើញ  ,Question & Negation Words
បន្តិច  ,Determiners & Quantifiers
ផ្ដល់ជម្រើស,Auxiliary Verbs / Aspect Markers  + Content word
មិនសូវ  ,Question & Negation Words
ផ្តល់ការពិនិត្យ,Auxiliary Verbs / Aspect Markers + Content word
ព្រោះអញ្ចឹង,Conjunctions
ផ្តល់អាការៈ,Auxiliary Verbs / Aspect Markers
ឆ្លៀតតំរង់  ,Function Nouns
ដូចដែល,Conjunctions
អ្វីៗ,Pronouns
ពេលវេលាច្រើន,Numbers & Time Expressions
មិនលើកលែង  ,Question & Negation Words
ប៉ុន្តែ,Conjunctions
ផ្តល់អាស្រ័យ,Auxiliary Verbs / Aspect Markers + Content word
គ្រប់គ្នា,Pronouns
ផ្តល់ព្រមាន,Auxiliary Verbs / Aspect Markers + Content word
ពេលនេះ,Numbers & Time Expressions
ភាគណា,Determiners & Quantifiers
ហាក់បីដូចជា  ,Particles & Discourse Markers
មិនគិត  ,Question & Negation Words
មិនខុស  ,Question & Negation Words
ភ្លេចបញ្ជាក់,Function Nouns
មិនបានត្រឹមតែ,Question & Negation Words
នឹកស្រឡាញ់  ,Function Nouns
ដែលជា,Conjunctions
